type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-25,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,72118,0,131,0,0,0.453114,128,[-125 48 8 0 0 0 0 0 0 0 0 0 10 21 10 22 9 22 8 23 8 23 7 23 6 23 5 23 5 23 4 23 5 23 5 23 4 23 4 22 3 22 3 22 2 22 2 21 2 21 2 21 2 20 2 20 2 20 3 20 3 20 3 20 0 0 3 18 4 19 4 18 4 18 4 18 5 18 5 18 5 18 5 17 6 18 7 18 6 17 7 16 7 17 7 17 8 17 8 16 8 17 8 17 8 16 9 16 9 16 10 16 10 16 10 15 10 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-36,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,74541,0,135,0,0,0.480908,384,[-121 112 8 0 0 0 0 0 0 0 0 0 20 -8 19 -8 20 -8 20 -6 20 -6 20 -5 20 -5 20 -4 20 -4 20 -3 20 -3 19 -2 20 -2 20 -2 19 -2 19 -2 18 -1 18 -1 18 -2 18 -2 18 -2 17 -2 18 -1 18 -1 17 -1 17 -2 0 0 16 -3 16 -3 16 -3 16 -3 16 -3 16 -4 15 -4 15 -5 15 -5 15 -4 15 -5 15 -5 15 -5 15 -6 15 -6 15 -7 15 -7 14 -7 14 -8 14 -8 14 -8 14 -8 15 -8 15 -8 14 -8 14 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-35,11,1,7,1,1,1,0,0,0,0,-96,0,6,1,193397,0,239,0,0,0.573947,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 13 -11 12 -11 13 -10 14 -10 13 -10 14 -9 14 -8 14 -8 14 -8 14 -7 14 -8 14 -7 14 -7 14 -7 14 -7 13 -6 13 -6 13 -6 13 -6 13 -6 13 -6 13 -6 12 -6 12 -7 12 -6 12 -6 0 0 11 -7 11 -6 11 -7 11 -7 11 -7 11 -7 10 -7 10 -7 10 -8 10 -7 9 -8 9 -8 9 -8 9 -9 9 -9 9 -9 8 -10 8 -10 8 -10 8 -9 8 -10 8 -10 8 -11 7 -11 7 -10 7 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-29,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2083286,0,37,0,0,2.46436,128,[37 80 2 0 0 0 0 0 0 0 0 0 20 11 20 12 20 13 20 14 19 14 18 15 18 15 18 16 16 16 16 15 17 16 16 16 16 16 15 15 14 16 15 16 14 16 13 15 14 16 13 15 13 15 13 15 13 14 14 14 14 13 14 14 0 0 13 13 14 13 13 13 13 12 13 12 14 12 13 12 13 11 13 11 14 11 15 10 14 10 15 9 15 10 15 10 15 9 15 9 16 9 16 10 16 9 17 9 15 9 16 8 17 7 16 7 17 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2085765,0,82,0,0,2.49512,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 3 17 4 18 5 17 6 17 6 17 6 17 6 16 8 16 7 16 8 15 8 15 8 15 8 15 8 14 8 14 8 14 8 14 8 13 8 13 8 13 8 13 7 13 8 13 7 13 7 12 7 0 0 12 7 13 6 13 6 13 6 12 5 13 6 12 5 13 5 12 5 13 5 13 4 13 4 13 3 13 3 13 3 13 3 14 3 13 3 14 3 14 2 14 2 14 1 14 2 14 1 14 1 14 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-29,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,3952850,0,37,0,0,4.33354,128,[37 80 2 0 0 0 0 0 0 0 0 0 -23 -15 -23 -17 -21 -17 -22 -18 -20 -18 -21 -20 -19 -20 -19 -20 -18 -20 -17 -20 -18 -20 -17 -20 -17 -20 -16 -20 -15 -21 -15 -20 -15 -20 -14 -19 -15 -20 -14 -19 -13 -19 -13 -19 -13 -18 -14 -18 -14 -18 -15 -18 0 0 -14 -17 -14 -16 -15 -17 -14 -15 -14 -16 -14 -16 -15 -15 -15 -15 -15 -14 -15 -14 -16 -14 -16 -14 -16 -13 -17 -14 -16 -13 -17 -14 -17 -12 -18 -13 -17 -13 -17 -13 -18 -12 -18 -12 -18 -12 -19 -11 -18 -11 -19 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4775754,0,110,0,0,5.15631,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 -1 20 0 20 1 20 1 20 2 20 2 20 3 20 3 20 3 19 4 19 4 19 4 19 5 18 5 18 4 18 5 17 4 17 4 17 5 17 5 17 4 17 4 17 4 16 4 16 4 16 4 0 0 16 3 16 3 16 2 15 2 15 2 16 2 15 1 16 0 15 0 16 0 15 0 15 0 15 -1 15 -1 15 -2 15 -2 15 -2 16 -2 15 -3 15 -3 15 -3 15 -4 15 -4 16 -4 15 -4 15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-29,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,4789864,0,37,0,0,5.18549,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 12 -21 12 -21 11 -22 11 -22 10 -23 9 -22 9 -23 8 -22 7 -22 7 -22 8 -22 8 -22 7 -22 6 -22 6 -21 6 -21 6 -21 5 -21 5 -21 5 -20 5 -20 5 -19 5 -20 6 -19 6 -19 6 0 0 -18 6 -18 6 -18 7 -17 7 -18 7 -17 7 -17 8 -17 7 -16 8 -17 9 -16 10 -16 9 -16 10 -16 10 -15 10 -16 10 -15 10 -15 11 -16 11 -15 11 -15 11 -14 11 -14 12 -14 13 -14 12 -14 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4790731,0,110,0,0,5.2264,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 12 -12 11 -13 10 -13 10 -14 10 -14 9 -13 9 -14 9 -14 8 -14 8 -14 8 -14 8 -14 8 -14 7 -14 7 -14 7 -14 7 -13 6 -14 7 -13 7 -13 7 -13 7 -12 6 -12 6 -12 7 -12 7 0 0 -11 7 -12 7 -11 8 -11 7 -10 7 -10 7 -10 8 -10 8 -10 8 -10 8 -9 8 -9 9 -9 9 -9 9 -9 9 -9 9 -9 10 -8 9 -8 10 -8 10 -8 10 -8 10 -7 10 -7 11 -7 11 -7 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4794262,0,110,0,0,5.26653,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -15 7 -15 8 -14 8 -15 8 -14 9 -14 9 -13 9 -13 10 -13 10 -13 10 -12 10 -12 10 -12 10 -12 10 -11 10 -11 10 -11 10 -11 10 -11 10 -11 10 -11 9 -10 9 -10 9 -10 9 -10 9 -10 0 0 8 -10 8 -10 8 -10 8 -10 7 -10 7 -11 7 -11 7 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 5 -11 5 -11 5 -12 5 -12 4 -12 4 -12 4 -12 4 -12 4 -12 4 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4794690,0,110,0,0,5.30778,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -18 -4 -18 -3 -19 -3 -19 -3 -19 -2 -18 -1 -19 -1 -19 -1 -18 0 -19 0 -18 0 -18 1 -18 0 -18 1 -17 0 -18 1 -17 1 -17 1 -17 1 -17 1 -16 1 -16 1 -16 0 -16 0 -16 0 -15 0 0 0 -15 0 -15 -1 -15 -1 -15 -1 -15 -2 -15 -2 -15 -2 -15 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -5 -14 -5 -14 -5 -14 -6 -14 -6 -14 -6 -14 -6 -14 -7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4795065,0,110,0,0,5.35082,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 13 -11 12 -11 12 -12 12 -12 12 -12 11 -12 11 -12 11 -13 10 -13 10 -13 10 -13 9 -13 9 -13 9 -13 9 -13 9 -12 8 -12 8 -12 8 -12 8 -12 9 -12 8 -11 8 -11 8 -11 8 -11 8 0 0 -10 8 -10 9 -10 9 -9 8 -9 9 -9 9 -9 9 -9 9 -8 9 -8 9 -8 9 -8 10 -8 10 -7 10 -7 10 -7 10 -7 11 -6 11 -6 11 -6 11 -6 11 -6 11 -5 11 -5 11 -5 11 -5 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,4795525,0,110,0,0,5.39123,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -21 -4 -20 -3 -21 -3 -21 -2 -22 -1 -21 -1 -21 -1 -21 0 -20 1 -21 1 -20 2 -20 1 -20 2 -20 2 -20 2 -19 2 -19 2 -19 2 -19 2 -18 2 -18 2 -18 2 -18 2 -17 2 -17 1 -17 0 0 1 -17 1 -17 1 -16 0 -16 0 -16 0 -16 -1 -16 -1 -17 -1 -16 -2 -17 -2 -16 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -4 -16 -4 -16 -4 -17 -5 -16 -5 -16 -5 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-35,11,1,4,1,1,1,1,0,0,0,-93,2,6,1,5057363,0,110,0,0,5.4398,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -3 17 -3 17 -2 17 -1 17 -1 17 0 17 0 17 1 17 1 17 2 17 1 16 2 16 2 16 2 16 3 16 3 15 3 15 2 15 3 15 3 15 3 14 3 14 3 14 2 14 2 14 2 0 0 13 2 14 1 14 1 13 1 13 1 13 1 13 1 13 1 13 0 13 0 13 -1 13 -1 13 -1 13 -1 13 -2 13 -2 13 -2 13 -2 13 -2 13 -3 13 -3 13 -3 13 -3 13 -4 13 -4 13 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-38,11,1,6,1,1,1,1,0,0,0,-93,6,6,1,6080523,0,110,0,0,6.46115,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 -18 5 -18 6 -18 6 -18 7 -18 8 -17 8 -16 9 -17 9 -16 9 -16 9 -16 9 -15 9 -16 9 -15 10 -15 9 -14 10 -14 9 -14 10 -14 10 -14 9 -13 9 -13 9 -13 9 -13 9 -13 9 -13 0 0 8 -13 8 -13 7 -13 7 -12 7 -13 7 -13 7 -13 6 -13 6 -13 6 -13 5 -13 5 -13 5 -13 5 -13 5 -14 5 -14 4 -14 4 -14 4 -14 3 -14 3 -14 3 -14 3 -14 3 -14 3 -14 2 -14 0 0 0 0 0 0 0 0 0 0 ]
